Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""loginElement/fieldUsername""), ""adsdsa"")",Chrome 107.0.0.0,,,2022-11-03 22:14:35,2022-11-03 22:14:35,0.848s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""aa12312"")",Chrome 107.0.0.0,,,2022-11-03 22:14:35,2022-11-03 22:14:36,0.787s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:14:36,2022-11-03 22:14:37,0.351s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:14:37,2022-11-03 22:14:40,3.006s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:14:40,2022-11-03 22:14:40,0.937s,PASSED
,,,,,,,
Test Cases/login/loginSuccess,Chrome 107.0.0.0,,,2022-11-03 22:14:40,2022-11-03 22:14:57,16.205s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:14:41,2022-11-03 22:14:45,3.971s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:14:45,2022-11-03 22:14:45,0.139s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:14:45,2022-11-03 22:14:46,0.924s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:14:46,2022-11-03 22:14:47,0.702s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:14:47,2022-11-03 22:14:47,0.376s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:14:47,2022-11-03 22:14:53,5.891s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:14:53,2022-11-03 22:14:56,3.004s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:14:56,2022-11-03 22:14:57,0.899s,PASSED
